sku,name,category,spec
DG-001,All-Purpose Flour,dry-goods,"50 lb bag, enriched bleached"
DG-002,Bread Flour,dry-goods,"50 lb bag, high-gluten"
DG-003,Granulated Sugar,dry-goods,"50 lb bag, pure cane"
DG-004,Powdered Sugar,dry-goods,"25 lb bag"
DG-005,Brown Sugar,dry-goods,"25 lb bag, light"
DG-006,White Rice Long Grain,dry-goods,"50 lb bag, parboiled"
DG-007,Brown Rice,dry-goods,"50 lb bag"
DG-008,Spaghetti Pasta,dry-goods,"case of 12, 16oz boxes"
DG-009,Penne Pasta,dry-goods,"case of 12, 16oz boxes"
DG-010,Elbow Macaroni,dry-goods,"case of 12, 16oz boxes"
DG-011,Medium Eggs,dry-goods,"case of 15 dozen, Grade A"
DG-012,Large Eggs,dry-goods,"case of 15 dozen, Grade A"
DG-013,Extra Large Eggs,dry-goods,"case of 12 dozen, Grade A"
DG-014,Whole Milk,dry-goods,"case of 6, 1 gallon"
DG-015,2% Milk,dry-goods,"case of 6, 1 gallon"
DG-016,Heavy Whipping Cream,dry-goods,"case of 12, 1 quart"
DG-017,Butter Unsalted,dry-goods,"case of 12, 1 lb"
DG-018,Butter Salted,dry-goods,"case of 12, 1 lb"
DG-019,Cheddar Cheese Shredded,dry-goods,"case of 8, 2 lb bags"
DG-020,Mozzarella Cheese Shredded,dry-goods,"case of 8, 2 lb bags"
DG-021,Chicken Stock,dry-goods,"case of 6, 1 gallon"
DG-022,Beef Stock,dry-goods,"case of 6, 1 gallon"
DG-023,Vegetable Stock,dry-goods,"case of 6, 1 gallon"
DG-024,Diced Tomatoes Canned,dry-goods,"case of 6, #10 can"
DG-025,Whole Peeled Tomatoes Canned,dry-goods,"case of 6, #10 can"
DG-026,Tomato Paste,dry-goods,"case of 12, #10 can"
DG-027,Tomato Sauce,dry-goods,"case of 6, #10 can"
DG-028,Black Beans Canned,dry-goods,"case of 12, #10 can"
DG-029,Pinto Beans Canned,dry-goods,"case of 12, #10 can"
DG-030,Chicken Broth Canned,dry-goods,"case of 6, #10 can"
DG-031,Olive Oil Extra Virgin,dry-goods,"case of 4, 1 gallon"
DG-032,Canola Oil,dry-goods,"case of 4, 1 gallon"
DG-033,Vegetable Oil,dry-goods,"case of 4, 1 gallon"
DG-034,Soy Sauce,dry-goods,"case of 4, 1 gallon"
DG-035,Vinegar White Distilled,dry-goods,"case of 4, 1 gallon"
DG-036,Vinegar Apple Cider,dry-goods,"case of 4, 1 gallon"
DG-037,Ketchup,dry-goods,"case of 4, 1 gallon"
DG-038,Mustard Yellow,dry-goods,"case of 6, 1 quart"
DG-039,Mayonnaise,dry-goods,"case of 4, 1 gallon"
DG-040,Relish Sweet,dry-goods,"case of 6, 1 gallon"
DG-041,Worcestershire Sauce,dry-goods,"case of 6, 1 gallon"
DG-042,Hot Sauce Cayenne,dry-goods,"case of 12, 1 gallon"
DG-043,Peanut Butter Creamy,dry-goods,"case of 6, 4 lb jars"
DG-044,Jelly Grape,dry-goods,"case of 6, #10 can"
DG-045,Honey,dry-goods,"case of 4, 1 gallon"
DG-046,Oatmeal Old Fashioned,dry-goods,"case of 6, 42 oz boxes"
DG-047,Cereal Corn Flakes,dry-goods,"case of 12, 18oz boxes"
DG-048,Cereal Frosted Flakes,dry-goods,"case of 12, 18oz boxes"
DG-049,Graham Crackers,dry-goods,"case of 12, 14.4 oz"
DG-050,Crackers Saltine,dry-goods,"case of 12, 16 oz"
KE-001,Fry Pan Non-Stick 12 inch,kitchen-equipment,"Teflon coating, aluminum body"
KE-002,Fry Pan Non-Stick 14 inch,kitchen-equipment,"Teflon coating, aluminum body"
KE-003,Sauce Pot 8 Quart,kitchen-equipment,"stainless steel, with lid"
KE-004,Sauce Pot 12 Quart,kitchen-equipment,"stainless steel, with lid"
KE-005,Stock Pot 24 Quart,kitchen-equipment,"stainless steel, with lid"
KE-006,Stock Pot 40 Quart,kitchen-equipment,"stainless steel, with lid"
KE-007,Sheet Pan Full Size,kitchen-equipment,"aluminum, 18x26 inches"
KE-008,Sheet Pan Half Size,kitchen-equipment,"aluminum, 13x18 inches"
KE-009,Hotel Pan Full Size 2 inch,kitchen-equipment,"stainless steel, #304"
KE-010,Hotel Pan Full Size 4 inch,kitchen-equipment,"stainless steel, #304"
KE-011,Hotel Pan Half Size 2 inch,kitchen-equipment,"stainless steel, #304"
KE-012,Hotel Pan Half Size 4 inch,kitchen-equipment,"stainless steel, #304"
KE-013,Steam Table Pan Cover,kitchen-equipment,"flat, polycarbonate"
KE-014,Food Storage Container 22 Quart,kitchen-equipment,"square, with lid, clear"
KE-015,Food Storage Container 12 Quart,kitchen-equipment,"square, with lid, clear"
KE-016,Cutting Board 18x24 inch,kitchen-equipment,"polyethylene, color-coded set"
KE-017,Knife Chef 10 inch,kitchen-equipment,"high-carbon stainless steel"
KE-018,Knife Chef 8 inch,kitchen-equipment,"high-carbon stainless steel"
KE-019,Measuring Cup 32 oz,kitchen-equipment,"stainless steel"
KE-020,Measuring Spoon Set,kitchen-equipment,"stainless steel, 6-piece set"
KE-021,Spatula Heat Resistant,kitchen-equipment,"silicone, 12 inch"
KE-022,Ladle 4 oz,kitchen-equipment,"stainless steel, 13 inch"
KE-023,Whisk 14 inch,kitchen-equipment,"stainless steel, balloon"
KE-024,Tongs 12 inch,kitchen-equipment,"stainless steel, locking"
KE-025,Colander 8 Quart,kitchen-equipment,"stainless steel, perforated"
KE-026,Mixing Bowl 5 Quart,kitchen-equipment,"stainless steel"
KE-027,Mixing Bowl 10 Quart,kitchen-equipment,"stainless steel"
KE-028,Peeler Straight,kitchen-equipment,"stainless steel blade"
KE-029,Grater Box Style,kitchen-equipment,"stainless steel, 4-sided"
KE-030,Can Opener Heavy Duty,kitchen-equipment,"stainless steel, table mount"
BK-001,Paper Bowls 8oz,disposables-bowls,"case of 24, coated paper"
BK-002,Paper Bowls 12oz,disposables-bowls,"case of 24, coated paper"
BK-003,Paper Bowls 16oz,disposables-bowls,"case of 24, coated paper"
BK-004,Plastic Bowls 8oz,disposables-bowls,"case of 25, clear PET"
BK-005,Plastic Bowls 12oz,disposables-bowls,"case of 25, clear PET"
BK-006,Plastic Bowls 16oz,disposables-bowls,"case of 25, clear PET"
BK-007,Styrofoam Bowls 8oz,disposables-bowls,"case of 500"
BK-008,Styrofoam Bowls 12oz,disposables-bowls,"case of 500"
PL-001,Aluminum Pan Half Size 2 inch,disposables-foil,"case of 50"
PL-002,Aluminum Pan Half Size 3 inch,disposables-foil,"case of 50"
PL-003,Aluminum Pan Full Size 2 inch,disposables-foil,"case of 50"
PL-004,Aluminum Pan Full Size 3 inch,disposables-foil,"case of 50"
PL-005,Aluminum Sheet Pan Lid,disposables-foil,"case of 100, flat"
PL-006,Plastic Wrap 18 inch,disposables-wrap,"case of 6, 1000 ft rolls"
PL-007,Plastic Wrap 24 inch,disposables-wrap,"case of 6, 1000 ft rolls"
PL-008,Aluminum Foil 18 inch,disposables-wrap,"case of 6, 500 ft rolls"
PL-009,Aluminum Foil Heavy Duty 18 inch,disposables-wrap,"case of 6, 500 ft rolls"
PL-010,Parchment Paper 15 inch,disposables-wrap,"case of 4, 500 ft rolls"
CL-001,Glass Cleaner 32 oz,cleaning,"case of 6, ready-to-use"
CL-002,All-Purpose Cleaner 32 oz,cleaning,"case of 6, ready-to-use"
CL-003,Dish Soap 1 Gallon,cleaning,"concentrate, lemon scent"
CL-004,Sanitizer Quaternary,cleaning,"case of 4, 1 gallon, NSF registered"
CL-005,Hand Soap Foaming,cleaning,"case of 4, 1250 mL refills"
CL-006,Paper Towel Dispenser,cleaning,"stainless steel, touchless"
CL-007,Trash Bags 33 Gallon,cleaning,"case of 100, 3 mil"
CL-008,Trash Bags 13 Gallon,cleaning,"case of 200, 1.5 mil"
CL-009,Trash Bags 55 Gallon,cleaning,"case of 50, 3 mil"
CL-010,Bleach 1 Gallon,cleaning,"industrial grade, 12.5% sodium hypochlorite"
SC-001,Sanitizer Wipes,cleaning,"case of 6, 160 count"
SC-002,Food Contact Surface Sanitizer,cleaning,"case of 4, 1 gallon"
SC-003,Glass Cleaner Concentrate,cleaning,"case of 4, 1 gallon"
SC-004,Floor Cleaner Concentrate,cleaning,"case of 4, 1 gallon"
SC-005,Degreaser Concentrate,cleaning,"case of 4, 1 gallon"
SC-006,Restroom Cleaner,cleaning,"case of 4, 1 gallon"
SC-007,Odor Eliminator,cleaning,"case of 6, 32 oz"
SC-008,Hand Sanitizer Gel,cleaning,"case of 6, 1 gallon"
SC-009,Dispenser for Hand Sanitizer,cleaning,"touchless, wall mount"
SC-010,Toilet Bowl Cleaner,cleaning,"case of 12, 32 oz"
PK-001,Take Out Containers 32oz,packaging,"case of 250, foam"
PK-002,Take Out Containers 16oz,packaging,"case of 250, foam"
PK-003,Take Out Containers Clamshell,packaging,"case of 250, 9x9 inch"
PK-004,Pizza Boxes 12 inch,packaging,"case of 50, corrugated"
PK-005,Pizza Boxes 16 inch,packaging,"case of 50, corrugated"
PK-006,Delicatessen Pans 8oz,packaging,"case of 500, clear"
PK-007,Delicatessen Pans 16oz,packaging,"case of 500, clear"
PK-008,Sheet Pan Liners,packaging,"case of 1000, silicone-coated"
PK-009,Bakery Boxes 10x10x5,packaging,"case of 50, white corrugated"
PK-010,Bakery Boxes 12x12x5,packaging,"case of 50, white corrugated"
PK-011,French Fry Boat 3.5 inch,packaging,"case of 500, kraft"
PK-012,Hamburger Box 6.75x6 inch,packaging,"case of 500, kraft"
PK-013,Napkin Holder Dispenser,packaging,"stainless steel, weighted base"
PK-014,Portion Cups 6oz with Lids,packaging,"case of 500"
PK-015,Soup Container 16oz with Lid,packaging,"case of 500, paper"
CT-001,To Go Coffee Cups 8oz,cups-lids,"case of 50, double wall paper"
CT-002,To Go Coffee Cups 12oz,cups-lids,"case of 50, double wall paper"
CT-003,To Go Coffee Cups 16oz,cups-lids,"case of 50, double wall paper"
CT-004,Coffee Cup Lids 8oz,cups-lids,"case of 500, black, sippable"
CT-005,Coffee Cup Lids 12oz,cups-lids,"case of 500, black, sippable"
CT-006,Coffee Cup Lids 16oz,cups-lids,"case of 500, black, sippable"
CT-007,Insulated Coffee Sleeves,cups-lids,"case of 500"
CT-008,Hot Chocolate Mix,cups-lids,"case of 12, 1 lb canisters"
CT-009,Coffee Ground Medium Roast,cups-lids,"case of 6, 2 lb bags"
CT-010,Tea Bags Assorted,cups-lids,"case of 100, 10 varieties"
CT-011,Sugar Packets,cups-lids,"case of 1000"
CT-012,Creamer Singles,cups-lids,"case of 500, half & half"
CT-013,Stir Sticks 7.5 inch,cups-lids,"case of 1000, wrapped"
BT-001,Chef Coat Double Breasted,uniforms,"white, 100% cotton, case of 6"
BT-002,Server Apron,uniforms,"black, polyester, case of 12"
BT-003,Checkered Apron,uniforms,"black/white, case of 12"
BT-004,Disposable Gloves Medium,uniforms,"case of 100, vinyl"
BT-005,Disposable Gloves Large,uniforms,"case of 100, vinyl"
BT-006,Disposable Gloves Medium,uniforms,"case of 100, nitrile"
BT-007,Disposable Gloves Large,uniforms,"case of 100, nitrile"
BT-008,Hair Nets,uniforms,"case of 500, white"
BT-009,Shoe Covers,uniforms,"case of 100, blue, non-slip"
BT-010,Hair Beard Cover,uniforms,"case of 100, white"
SR-001,Food Scale Digital 22 lb,safety-equipment,"stainless steel platform, NSF"
SR-002,Food Thermometer Instant Read,safety-equipment,"digital, -58F to 572F"
SR-003,Probe Thermometer,safety-equipment,"stainless steel, 5 inch probe"
SR-004,Safety Gloves Cut Resistant,safety-equipment,"case of 12, level 5"
SR-005,Non-Slip Mat 18x36 inch,safety-equipment,"rubber, drainage holes"
SR-006,Spill Kit,safety-equipment,"universal, 5 gallon capacity"
SR-007,First Aid Kit 50 Person,safety-equipment,"OSHA compliant, wall mount"
SR-008,Fire Extinguisher ABC,safety-equipment,"10 lb, wall mount bracket"
SR-009,Safety Sign Wet Floor,safety-equipment,"folding, 25x36 inch"
SR-010,Ear Plugs,safety-equipment,"case of 200, NRR 32dB"
SB-001,Sheet Pan Set 3 Tier,baking,"aluminum, full size, with rack"
SB-002,Muffin Pan 12 Cup,baking,"non-stick, commercial grade"
SB-003,Loaf Pan 9x5 inch,baking,"aluminum, set of 12"
SB-004,Silicone Baking Mat,baking,"full size, non-stick"
SB-005,Cake Pans 9 inch Round,baking,"aluminum, set of 6"
SB-006,Pie Dishes 9 inch,baking,"aluminum, set of 6"
SB-007,Springform Pan 10 inch,baking,"non-stick, set of 3"
SB-008,Proofing Basket,baking,"round, 10 inch, natural rattan"
SB-009,Bench Scraper,baking,"stainless steel, 6 inch"
SB-010,Pastry Brush,baking,"silicone, heat resistant to 450F"
BF-001,Blender Commercial 64 oz,beverages,"2 hp, stainless steel container"
BF-002,Blender Commercial 32 oz,beverages,"1.5 hp, polycarbonate"
BF-003,Hot Water Dispenser 3 Gallon,beverages,"stainless steel, NSF"
BF-004,Coffee Maker 12 Cup,beverages,"commercial, thermal carafe"
BF-005,Iced Tea Maker 2 Gallon,beverages,"stainless steel, programmable"
BF-006,Water Filtration System,beverages,"under-sink, 0.5 micron"
BF-007,Coffee Grinder Commercial,beverages,"burr, stainless steel, 64 oz hopper"
BF-008,Espresso Machine,beverages,"semi-automatic, 15 bar"
BF-009,Dispensing Valve 3/8 inch,beverages,"stainless steel, for syrup"
BF-010,Flavor Pump Set,beverages,"set of 12, 1 oz per pump"
